hidden_layer_sizes,activation,solver,alpha,learning_rate_init,early_stopping,use_smote,test_size,seed,cv_accuracy_mean,cv_precision_mean,cv_recall_mean,cv_f1_mean,cv_roc_auc_mean,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,tn,fp,fn,tp
"(64,)",relu,adam,0.0001,0.001,True,False,0.2,42,0.7414063350163224,0.3333333333333333,0.0012077294685990338,0.0024067388688327317,0.48782648194786243,0.74125,0.0,0.0,0.0,0.5188633901149481,1186,0,414,0
"(64,)",relu,adam,0.001,0.001,True,False,0.2,42,0.7414063350163224,0.3333333333333333,0.0012077294685990338,0.0024067388688327317,0.4878222867016508,0.74125,0.0,0.0,0.0,0.5188674634015201,1186,0,414,0
"(64,)",tanh,adam,0.0001,0.001,True,False,0.2,42,0.740937511762689,0.0,0.0,0.0,0.49675044198997814,0.74125,0.0,0.0,0.0,0.5105966550170671,1186,0,414,0
"(64,)",tanh,adam,0.001,0.001,True,False,0.2,42,0.740937511762689,0.0,0.0,0.0,0.49674700857395604,0.74125,0.0,0.0,0.0,0.510590545087209,1186,0,414,0
"(128,)",relu,adam,0.0001,0.001,True,False,0.2,42,0.7410937861805668,0.0,0.0,0.0,0.5092802900547645,0.74125,0.0,0.0,0.0,0.4944562569755032,1186,0,414,0
"(128,)",relu,adam,0.001,0.001,True,False,0.2,42,0.7410937861805668,0.0,0.0,0.0,0.5092856366798756,0.74125,0.0,0.0,0.0,0.49445625697550327,1186,0,414,0
"(128,)",tanh,adam,0.0001,0.001,True,False,0.2,42,0.7410937861805668,0.0,0.0,0.0,0.5196879361477835,0.74125,0.0,0.0,0.0,0.5148206531922347,1186,0,414,0
"(128,)",tanh,adam,0.001,0.001,True,False,0.2,42,0.7410937861805668,0.0,0.0,0.0,0.5196860291548974,0.74125,0.0,0.0,0.0,0.5148104699758047,1186,0,414,0
"(64, 32)",relu,adam,0.0001,0.001,True,False,0.2,42,0.7410937861805668,0.0,0.0,0.0,0.5083037411688962,0.74125,0.0,0.0,0.0,0.4862750608956342,1186,0,414,0
"(64, 32)",relu,adam,0.001,0.001,True,False,0.2,42,0.7410937861805668,0.0,0.0,0.0,0.5083041182852003,0.74125,0.0,0.0,0.0,0.48626284103591827,1186,0,414,0
"(64, 32)",tanh,adam,0.0001,0.001,True,False,0.2,42,0.7410937861805668,0.0,0.0,0.0,0.5172090153053467,0.74125,0.0,0.0,0.0,0.4994073368037735,1186,0,414,0
"(64, 32)",tanh,adam,0.001,0.001,True,False,0.2,42,0.7410937861805668,0.0,0.0,0.0,0.5172082500217111,0.74125,0.0,0.0,0.0,0.4994114100903455,1186,0,414,0
